# JD          x_km               y_km                z_km      vx_km_s        vy_km_s         vz_km_s
2458732.750 +1.91886899e+09 -6.04731293e+09 -2.36942066e+09 +5.45182856e+00 -1.20453320e+01 -4.67019219e+00
2458733.000 +1.91898675e+09 -6.04757311e+09 -2.36952153e+09 +5.45181082e+00 -1.20452761e+01 -4.67017028e+00
2458733.250 +1.91910451e+09 -6.04783329e+09 -2.36962241e+09 +5.45179308e+00 -1.20452202e+01 -4.67014838e+00
2458733.500 +1.91922226e+09 -6.04809346e+09 -2.36972328e+09 +5.45177534e+00 -1.20451643e+01 -4.67012648e+00
2458733.750 +1.91934002e+09 -6.04835364e+09 -2.36982416e+09 +5.45175761e+00 -1.20451084e+01 -4.67010458e+00
2458734.000 +1.91945778e+09 -6.04861381e+09 -2.36992503e+09 +5.45173987e+00 -1.20450525e+01 -4.67008269e+00
2458734.250 +1.91957554e+09 -6.04887398e+09 -2.37002590e+09 +5.45172214e+00 -1.20449966e+01 -4.67006079e+00
2458734.500 +1.91969329e+09 -6.04913415e+09 -2.37012678e+09 +5.45170441e+00 -1.20449408e+01 -4.67003890e+00
2458734.750 +1.91981105e+09 -6.04939432e+09 -2.37022765e+09 +5.45168668e+00 -1.20448849e+01 -4.67001701e+00
2458735.000 +1.91992881e+09 -6.04965449e+09 -2.37032852e+09 +5.45166895e+00 -1.20448290e+01 -4.66999512e+00
2458735.250 +1.92004656e+09 -6.04991466e+09 -2.37042939e+09 +5.45165122e+00 -1.20447732e+01 -4.66997323e+00
2458735.500 +1.92016432e+09 -6.05017483e+09 -2.37053026e+09 +5.45163349e+00 -1.20447173e+01 -4.66995135e+00
2458735.750 +1.92028207e+09 -6.05043499e+09 -2.37063114e+09 +5.45161577e+00 -1.20446615e+01 -4.66992947e+00
2458736.000 +1.92039983e+09 -6.05069516e+09 -2.37073201e+09 +5.45159804e+00 -1.20446056e+01 -4.66990758e+00
2458736.250 +1.92051758e+09 -6.05095532e+09 -2.37083288e+09 +5.45158032e+00 -1.20445498e+01 -4.66988571e+00
2458736.500 +1.92063534e+09 -6.05121548e+09 -2.37093374e+09 +5.45156260e+00 -1.20444939e+01 -4.66986383e+00
2458736.750 +1.92075309e+09 -6.05147564e+09 -2.37103461e+09 +5.45154488e+00 -1.20444381e+01 -4.66984196e+00
2458737.000 +1.92087084e+09 -6.05173580e+09 -2.37113548e+09 +5.45152716e+00 -1.20443823e+01 -4.66982008e+00
2458737.250 +1.92098860e+09 -6.05199596e+09 -2.37123635e+09 +5.45150944e+00 -1.20443265e+01 -4.66979821e+00
2458737.500 +1.92110635e+09 -6.05225612e+09 -2.37133722e+09 +5.45149173e+00 -1.20442706e+01 -4.66977634e+00
2458737.750 +1.92122410e+09 -6.05251627e+09 -2.37143808e+09 +5.45147401e+00 -1.20442148e+01 -4.66975448e+00
2458738.000 +1.92134185e+09 -6.05277643e+09 -2.37153895e+09 +5.45145630e+00 -1.20441590e+01 -4.66973261e+00
2458738.250 +1.92145960e+09 -6.05303658e+09 -2.37163982e+09 +5.45143858e+00 -1.20441032e+01 -4.66971075e+00
2458738.500 +1.92157735e+09 -6.05329673e+09 -2.37174068e+09 +5.45142087e+00 -1.20440474e+01 -4.66968889e+00
2458738.750 +1.92169510e+09 -6.05355688e+09 -2.37184155e+09 +5.45140316e+00 -1.20439916e+01 -4.66966703e+00
2458739.000 +1.92181285e+09 -6.05381703e+09 -2.37194241e+09 +5.45138545e+00 -1.20439359e+01 -4.66964517e+00
2458739.250 +1.92193060e+09 -6.05407718e+09 -2.37204328e+09 +5.45136775e+00 -1.20438801e+01 -4.66962332e+00
2458739.500 +1.92204835e+09 -6.05433733e+09 -2.37214414e+09 +5.45135004e+00 -1.20438243e+01 -4.66960147e+00
2458739.750 +1.92216610e+09 -6.05459747e+09 -2.37224500e+09 +5.45133233e+00 -1.20437685e+01 -4.66957961e+00
2458740.000 +1.92228385e+09 -6.05485762e+09 -2.37234587e+09 +5.45131463e+00 -1.20437128e+01 -4.66955777e+00
2458740.250 +1.92240160e+09 -6.05511776e+09 -2.37244673e+09 +5.45129693e+00 -1.20436570e+01 -4.66953592e+00
2458740.500 +1.92251935e+09 -6.05537790e+09 -2.37254759e+09 +5.45127923e+00 -1.20436013e+01 -4.66951407e+00
2458740.750 +1.92263710e+09 -6.05563805e+09 -2.37264845e+09 +5.45126153e+00 -1.20435455e+01 -4.66949223e+00
2458741.000 +1.92275484e+09 -6.05589819e+09 -2.37274931e+09 +5.45124383e+00 -1.20434898e+01 -4.66947039e+00
2458741.250 +1.92287259e+09 -6.05615832e+09 -2.37285017e+09 +5.45122613e+00 -1.20434340e+01 -4.66944855e+00
2458741.500 +1.92299034e+09 -6.05641846e+09 -2.37295103e+09 +5.45120843e+00 -1.20433783e+01 -4.66942671e+00
2458741.750 +1.92310808e+09 -6.05667860e+09 -2.37305189e+09 +5.45119074e+00 -1.20433226e+01 -4.66940488e+00
2458742.000 +1.92322583e+09 -6.05693873e+09 -2.37315275e+09 +5.45117305e+00 -1.20432668e+01 -4.66938305e+00
2458742.250 +1.92334357e+09 -6.05719887e+09 -2.37325361e+09 +5.45115535e+00 -1.20432111e+01 -4.66936121e+00
2458742.500 +1.92346132e+09 -6.05745900e+09 -2.37335447e+09 +5.45113766e+00 -1.20431554e+01 -4.66933939e+00
2458742.750 +1.92357906e+09 -6.05771913e+09 -2.37345532e+09 +5.45111997e+00 -1.20430997e+01 -4.66931756e+00
2458743.000 +1.92369680e+09 -6.05797926e+09 -2.37355618e+09 +5.45110228e+00 -1.20430440e+01 -4.66929573e+00
2458743.250 +1.92381455e+09 -6.05823939e+09 -2.37365704e+09 +5.45108460e+00 -1.20429883e+01 -4.66927391e+00
2458743.500 +1.92393229e+09 -6.05849952e+09 -2.37375789e+09 +5.45106691e+00 -1.20429326e+01 -4.66925209e+00
2458743.750 +1.92405003e+09 -6.05875965e+09 -2.37385875e+09 +5.45104923e+00 -1.20428769e+01 -4.66923027e+00
2458744.000 +1.92416778e+09 -6.05901977e+09 -2.37395960e+09 +5.45103154e+00 -1.20428212e+01 -4.66920845e+00
2458744.250 +1.92428552e+09 -6.05927990e+09 -2.37406046e+09 +5.45101386e+00 -1.20427655e+01 -4.66918664e+00
2458744.500 +1.92440326e+09 -6.05954002e+09 -2.37416131e+09 +5.45099618e+00 -1.20427099e+01 -4.66916482e+00
2458744.750 +1.92452100e+09 -6.05980014e+09 -2.37426217e+09 +5.45097850e+00 -1.20426542e+01 -4.66914301e+00
2458745.000 +1.92463874e+09 -6.06006026e+09 -2.37436302e+09 +5.45096082e+00 -1.20425985e+01 -4.66912120e+00
2458745.250 +1.92475648e+09 -6.06032038e+09 -2.37446387e+09 +5.45094314e+00 -1.20425429e+01 -4.66909940e+00
2458745.500 +1.92487422e+09 -6.06058050e+09 -2.37456472e+09 +5.45092547e+00 -1.20424872e+01 -4.66907759e+00
2458745.750 +1.92499196e+09 -6.06084062e+09 -2.37466558e+09 +5.45090779e+00 -1.20424316e+01 -4.66905579e+00
2458746.000 +1.92510970e+09 -6.06110073e+09 -2.37476643e+09 +5.45089012e+00 -1.20423759e+01 -4.66903399e+00
2458746.250 +1.92522744e+09 -6.06136085e+09 -2.37486728e+09 +5.45087245e+00 -1.20423203e+01 -4.66901219e+00
2458746.500 +1.92534518e+09 -6.06162096e+09 -2.37496813e+09 +5.45085478e+00 -1.20422646e+01 -4.66899039e+00
2458746.750 +1.92546292e+09 -6.06188107e+09 -2.37506898e+09 +5.45083711e+00 -1.20422090e+01 -4.66896859e+00
2458747.000 +1.92558066e+09 -6.06214118e+09 -2.37516983e+09 +5.45081944e+00 -1.20421534e+01 -4.66894680e+00
2458747.250 +1.92569839e+09 -6.06240129e+09 -2.37527068e+09 +5.45080177e+00 -1.20420978e+01 -4.66892501e+00
2458747.500 +1.92581613e+09 -6.06266140e+09 -2.37537153e+09 +5.45078411e+00 -1.20420422e+01 -4.66890322e+00
2458747.750 +1.92593387e+09 -6.06292151e+09 -2.37547237e+09 +5.45076644e+00 -1.20419865e+01 -4.66888143e+00
2458748.000 +1.92605160e+09 -6.06318162e+09 -2.37557322e+09 +5.45074878e+00 -1.20419309e+01 -4.66885964e+00
2458748.250 +1.92616934e+09 -6.06344172e+09 -2.37567407e+09 +5.45073112e+00 -1.20418753e+01 -4.66883786e+00
2458748.500 +1.92628708e+09 -6.06370183e+09 -2.37577492e+09 +5.45071346e+00 -1.20418197e+01 -4.66881608e+00
2458748.750 +1.92640481e+09 -6.06396193e+09 -2.37587576e+09 +5.45069580e+00 -1.20417642e+01 -4.66879430e+00
2458749.000 +1.92652255e+09 -6.06422203e+09 -2.37597661e+09 +5.45067814e+00 -1.20417086e+01 -4.66877252e+00
2458749.250 +1.92664028e+09 -6.06448213e+09 -2.37607745e+09 +5.45066048e+00 -1.20416530e+01 -4.66875075e+00
2458749.500 +1.92675801e+09 -6.06474223e+09 -2.37617830e+09 +5.45064283e+00 -1.20415974e+01 -4.66872897e+00
2458749.750 +1.92687575e+09 -6.06500233e+09 -2.37627914e+09 +5.45062517e+00 -1.20415419e+01 -4.66870720e+00
2458750.000 +1.92699348e+09 -6.06526242e+09 -2.37637999e+09 +5.45060752e+00 -1.20414863e+01 -4.66868543e+00
2458750.250 +1.92711121e+09 -6.06552252e+09 -2.37648083e+09 +5.45058987e+00 -1.20414307e+01 -4.66866366e+00
2458750.500 +1.92722895e+09 -6.06578261e+09 -2.37658167e+09 +5.45057222e+00 -1.20413752e+01 -4.66864190e+00
2458750.750 +1.92734668e+09 -6.06604271e+09 -2.37668251e+09 +5.45055457e+00 -1.20413196e+01 -4.66862013e+00
2458751.000 +1.92746441e+09 -6.06630280e+09 -2.37678336e+09 +5.45053692e+00 -1.20412641e+01 -4.66859837e+00
2458751.250 +1.92758214e+09 -6.06656289e+09 -2.37688420e+09 +5.45051927e+00 -1.20412085e+01 -4.66857661e+00
2458751.500 +1.92769987e+09 -6.06682298e+09 -2.37698504e+09 +5.45050163e+00 -1.20411530e+01 -4.66855485e+00
2458751.750 +1.92781760e+09 -6.06708307e+09 -2.37708588e+09 +5.45048399e+00 -1.20410975e+01 -4.66853310e+00
2458752.000 +1.92793533e+09 -6.06734315e+09 -2.37718672e+09 +5.45046634e+00 -1.20410420e+01 -4.66851134e+00
2458752.250 +1.92805306e+09 -6.06760324e+09 -2.37728756e+09 +5.45044870e+00 -1.20409864e+01 -4.66848959e+00
2458752.500 +1.92817079e+09 -6.06786332e+09 -2.37738840e+09 +5.45043106e+00 -1.20409309e+01 -4.66846784e+00
2458752.750 +1.92828852e+09 -6.06812341e+09 -2.37748924e+09 +5.45041342e+00 -1.20408754e+01 -4.66844609e+00
2458753.000 +1.92840625e+09 -6.06838349e+09 -2.37759008e+09 +5.45039578e+00 -1.20408199e+01 -4.66842434e+00
2458753.250 +1.92852398e+09 -6.06864357e+09 -2.37769091e+09 +5.45037815e+00 -1.20407644e+01 -4.66840260e+00
2458753.500 +1.92864171e+09 -6.06890365e+09 -2.37779175e+09 +5.45036051e+00 -1.20407089e+01 -4.66838086e+00
2458753.750 +1.92875944e+09 -6.06916373e+09 -2.37789259e+09 +5.45034288e+00 -1.20406534e+01 -4.66835912e+00
2458754.000 +1.92887716e+09 -6.06942381e+09 -2.37799342e+09 +5.45032525e+00 -1.20405979e+01 -4.66833738e+00
2458754.250 +1.92899489e+09 -6.06968388e+09 -2.37809426e+09 +5.45030761e+00 -1.20405425e+01 -4.66831564e+00
2458754.500 +1.92911262e+09 -6.06994396e+09 -2.37819509e+09 +5.45028998e+00 -1.20404870e+01 -4.66829391e+00
2458754.750 +1.92923034e+09 -6.07020403e+09 -2.37829593e+09 +5.45027235e+00 -1.20404315e+01 -4.66827217e+00
2458755.000 +1.92934807e+09 -6.07046411e+09 -2.37839676e+09 +5.45025473e+00 -1.20403760e+01 -4.66825044e+00
2458755.250 +1.92946579e+09 -6.07072418e+09 -2.37849760e+09 +5.45023710e+00 -1.20403206e+01 -4.66822872e+00
2458755.500 +1.92958352e+09 -6.07098425e+09 -2.37859843e+09 +5.45021948e+00 -1.20402651e+01 -4.66820699e+00
2458755.750 +1.92970124e+09 -6.07124432e+09 -2.37869926e+09 +5.45020185e+00 -1.20402097e+01 -4.66818526e+00
2458756.000 +1.92981897e+09 -6.07150438e+09 -2.37880010e+09 +5.45018423e+00 -1.20401542e+01 -4.66816354e+00
2458756.250 +1.92993669e+09 -6.07176445e+09 -2.37890093e+09 +5.45016661e+00 -1.20400988e+01 -4.66814182e+00
2458756.500 +1.93005441e+09 -6.07202452e+09 -2.37900176e+09 +5.45014899e+00 -1.20400434e+01 -4.66812010e+00
2458756.750 +1.93017214e+09 -6.07228458e+09 -2.37910259e+09 +5.45013137e+00 -1.20399879e+01 -4.66809838e+00
2458757.000 +1.93028986e+09 -6.07254464e+09 -2.37920342e+09 +5.45011375e+00 -1.20399325e+01 -4.66807667e+00
2458757.250 +1.93040758e+09 -6.07280471e+09 -2.37930425e+09 +5.45009613e+00 -1.20398771e+01 -4.66805496e+00
2458757.500 +1.93052530e+09 -6.07306477e+09 -2.37940508e+09 +5.45007852e+00 -1.20398217e+01 -4.66803325e+00
2458757.750 +1.93064303e+09 -6.07332483e+09 -2.37950591e+09 +5.45006091e+00 -1.20397663e+01 -4.66801154e+00
2458758.000 +1.93076075e+09 -6.07358489e+09 -2.37960674e+09 +5.45004329e+00 -1.20397109e+01 -4.66798983e+00
2458758.250 +1.93087847e+09 -6.07384494e+09 -2.37970757e+09 +5.45002568e+00 -1.20396555e+01 -4.66796812e+00
2458758.500 +1.93099619e+09 -6.07410500e+09 -2.37980840e+09 +5.45000807e+00 -1.20396001e+01 -4.66794642e+00
2458758.750 +1.93111391e+09 -6.07436505e+09 -2.37990922e+09 +5.44999046e+00 -1.20395447e+01 -4.66792472e+00
2458759.000 +1.93123163e+09 -6.07462511e+09 -2.38001005e+09 +5.44997286e+00 -1.20394893e+01 -4.66790302e+00
2458759.250 +1.93134935e+09 -6.07488516e+09 -2.38011088e+09 +5.44995525e+00 -1.20394339e+01 -4.66788132e+00
2458759.500 +1.93146707e+09 -6.07514521e+09 -2.38021170e+09 +5.44993765e+00 -1.20393785e+01 -4.66785963e+00
2458759.750 +1.93158478e+09 -6.07540526e+09 -2.38031253e+09 +5.44992004e+00 -1.20393232e+01 -4.66783793e+00
2458760.000 +1.93170250e+09 -6.07566531e+09 -2.38041335e+09 +5.44990244e+00 -1.20392678e+01 -4.66781624e+00
2458760.250 +1.93182022e+09 -6.07592536e+09 -2.38051418e+09 +5.44988484e+00 -1.20392124e+01 -4.66779455e+00
2458760.500 +1.93193794e+09 -6.07618540e+09 -2.38061500e+09 +5.44986724e+00 -1.20391571e+01 -4.66777287e+00
2458760.750 +1.93205565e+09 -6.07644545e+09 -2.38071583e+09 +5.44984964e+00 -1.20391017e+01 -4.66775118e+00
2458761.000 +1.93217337e+09 -6.07670549e+09 -2.38081665e+09 +5.44983204e+00 -1.20390464e+01 -4.66772950e+00
2458761.250 +1.93229109e+09 -6.07696553e+09 -2.38091747e+09 +5.44981445e+00 -1.20389911e+01 -4.66770781e+00
2458761.500 +1.93240880e+09 -6.07722558e+09 -2.38101830e+09 +5.44979685e+00 -1.20389357e+01 -4.66768614e+00
2458761.750 +1.93252652e+09 -6.07748562e+09 -2.38111912e+09 +5.44977926e+00 -1.20388804e+01 -4.66766446e+00
2458762.000 +1.93264423e+09 -6.07774566e+09 -2.38121994e+09 +5.44976167e+00 -1.20388251e+01 -4.66764278e+00
2458762.250 +1.93276195e+09 -6.07800569e+09 -2.38132076e+09 +5.44974408e+00 -1.20387697e+01 -4.66762111e+00
2458762.500 +1.93287966e+09 -6.07826573e+09 -2.38142158e+09 +5.44972649e+00 -1.20387144e+01 -4.66759944e+00
2458762.750 +1.93299738e+09 -6.07852577e+09 -2.38152240e+09 +5.44970890e+00 -1.20386591e+01 -4.66757777e+00
2458763.000 +1.93311509e+09 -6.07878580e+09 -2.38162322e+09 +5.44969131e+00 -1.20386038e+01 -4.66755610e+00
2458763.250 +1.93323280e+09 -6.07904583e+09 -2.38172404e+09 +5.44967372e+00 -1.20385485e+01 -4.66753443e+00
2458763.500 +1.93335052e+09 -6.07930587e+09 -2.38182486e+09 +5.44965614e+00 -1.20384932e+01 -4.66751277e+00
2458763.750 +1.93346823e+09 -6.07956590e+09 -2.38192567e+09 +5.44963856e+00 -1.20384379e+01 -4.66749111e+00
2458764.000 +1.93358594e+09 -6.07982593e+09 -2.38202649e+09 +5.44962097e+00 -1.20383826e+01 -4.66746945e+00
2458764.250 +1.93370365e+09 -6.08008596e+09 -2.38212731e+09 +5.44960339e+00 -1.20383274e+01 -4.66744779e+00
2458764.500 +1.93382136e+09 -6.08034598e+09 -2.38222813e+09 +5.44958581e+00 -1.20382721e+01 -4.66742613e+00
2458764.750 +1.93393907e+09 -6.08060601e+09 -2.38232894e+09 +5.44956823e+00 -1.20382168e+01 -4.66740448e+00
2458765.000 +1.93405678e+09 -6.08086603e+09 -2.38242976e+09 +5.44955066e+00 -1.20381615e+01 -4.66738282e+00
2458765.250 +1.93417449e+09 -6.08112606e+09 -2.38253057e+09 +5.44953308e+00 -1.20381063e+01 -4.66736117e+00
2458765.500 +1.93429220e+09 -6.08138608e+09 -2.38263139e+09 +5.44951551e+00 -1.20380510e+01 -4.66733953e+00
2458765.750 +1.93440991e+09 -6.08164610e+09 -2.38273220e+09 +5.44949793e+00 -1.20379958e+01 -4.66731788e+00
2458766.000 +1.93452762e+09 -6.08190612e+09 -2.38283302e+09 +5.44948036e+00 -1.20379405e+01 -4.66729623e+00
2458766.250 +1.93464533e+09 -6.08216614e+09 -2.38293383e+09 +5.44946279e+00 -1.20378853e+01 -4.66727459e+00
2458766.500 +1.93476304e+09 -6.08242616e+09 -2.38303464e+09 +5.44944522e+00 -1.20378301e+01 -4.66725295e+00
2458766.750 +1.93488075e+09 -6.08268617e+09 -2.38313545e+09 +5.44942765e+00 -1.20377748e+01 -4.66723131e+00
2458767.000 +1.93499845e+09 -6.08294619e+09 -2.38323627e+09 +5.44941009e+00 -1.20377196e+01 -4.66720968e+00
2458767.250 +1.93511616e+09 -6.08320620e+09 -2.38333708e+09 +5.44939252e+00 -1.20376644e+01 -4.66718804e+00
2458767.500 +1.93523387e+09 -6.08346622e+09 -2.38343789e+09 +5.44937496e+00 -1.20376092e+01 -4.66716641e+00
2458767.750 +1.93535157e+09 -6.08372623e+09 -2.38353870e+09 +5.44935739e+00 -1.20375540e+01 -4.66714478e+00
2458768.000 +1.93546928e+09 -6.08398624e+09 -2.38363951e+09 +5.44933983e+00 -1.20374987e+01 -4.66712315e+00
2458768.250 +1.93558699e+09 -6.08424625e+09 -2.38374032e+09 +5.44932227e+00 -1.20374435e+01 -4.66710152e+00
2458768.500 +1.93570469e+09 -6.08450626e+09 -2.38384113e+09 +5.44930471e+00 -1.20373883e+01 -4.66707990e+00
2458768.750 +1.93582240e+09 -6.08476626e+09 -2.38394194e+09 +5.44928715e+00 -1.20373332e+01 -4.66705827e+00
2458769.000 +1.93594010e+09 -6.08502627e+09 -2.38404275e+09 +5.44926959e+00 -1.20372780e+01 -4.66703665e+00
2458769.250 +1.93605780e+09 -6.08528627e+09 -2.38414355e+09 +5.44925204e+00 -1.20372228e+01 -4.66701503e+00
2458769.500 +1.93617551e+09 -6.08554628e+09 -2.38424436e+09 +5.44923448e+00 -1.20371676e+01 -4.66699342e+00
2458769.750 +1.93629321e+09 -6.08580628e+09 -2.38434517e+09 +5.44921693e+00 -1.20371124e+01 -4.66697180e+00
2458770.000 +1.93641091e+09 -6.08606628e+09 -2.38444597e+09 +5.44919938e+00 -1.20370573e+01 -4.66695019e+00
2458770.250 +1.93652862e+09 -6.08632628e+09 -2.38454678e+09 +5.44918183e+00 -1.20370021e+01 -4.66692857e+00
2458770.500 +1.93664632e+09 -6.08658628e+09 -2.38464758e+09 +5.44916428e+00 -1.20369470e+01 -4.66690697e+00
2458770.750 +1.93676402e+09 -6.08684628e+09 -2.38474839e+09 +5.44914673e+00 -1.20368918e+01 -4.66688536e+00
2458771.000 +1.93688172e+09 -6.08710627e+09 -2.38484919e+09 +5.44912918e+00 -1.20368367e+01 -4.66686375e+00
2458771.250 +1.93699942e+09 -6.08736627e+09 -2.38495000e+09 +5.44911164e+00 -1.20367815e+01 -4.66684215e+00
2458771.500 +1.93711712e+09 -6.08762626e+09 -2.38505080e+09 +5.44909409e+00 -1.20367264e+01 -4.66682055e+00
2458771.750 +1.93723482e+09 -6.08788625e+09 -2.38515160e+09 +5.44907655e+00 -1.20366712e+01 -4.66679895e+00
2458772.000 +1.93735252e+09 -6.08814625e+09 -2.38525241e+09 +5.44905901e+00 -1.20366161e+01 -4.66677735e+00
2458772.250 +1.93747022e+09 -6.08840624e+09 -2.38535321e+09 +5.44904147e+00 -1.20365610e+01 -4.66675575e+00
2458772.500 +1.93758792e+09 -6.08866623e+09 -2.38545401e+09 +5.44902393e+00 -1.20365059e+01 -4.66673416e+00
2458772.750 +1.93770562e+09 -6.08892621e+09 -2.38555481e+09 +5.44900639e+00 -1.20364508e+01 -4.66671257e+00
2458773.000 +1.93782332e+09 -6.08918620e+09 -2.38565561e+09 +5.44898885e+00 -1.20363957e+01 -4.66669098e+00
2458773.250 +1.93794102e+09 -6.08944619e+09 -2.38575641e+09 +5.44897132e+00 -1.20363406e+01 -4.66666939e+00
2458773.500 +1.93805871e+09 -6.08970617e+09 -2.38585721e+09 +5.44895378e+00 -1.20362855e+01 -4.66664780e+00
2458773.750 +1.93817641e+09 -6.08996615e+09 -2.38595801e+09 +5.44893625e+00 -1.20362304e+01 -4.66662622e+00
2458774.000 +1.93829411e+09 -6.09022614e+09 -2.38605881e+09 +5.44891872e+00 -1.20361753e+01 -4.66660464e+00
2458774.250 +1.93841181e+09 -6.09048612e+09 -2.38615961e+09 +5.44890119e+00 -1.20361202e+01 -4.66658306e+00
2458774.500 +1.93852950e+09 -6.09074610e+09 -2.38626041e+09 +5.44888366e+00 -1.20360651e+01 -4.66656148e+00
2458774.750 +1.93864720e+09 -6.09100607e+09 -2.38636121e+09 +5.44886613e+00 -1.20360100e+01 -4.66653990e+00
2458775.000 +1.93876489e+09 -6.09126605e+09 -2.38646200e+09 +5.44884860e+00 -1.20359550e+01 -4.66651833e+00
2458775.250 +1.93888259e+09 -6.09152603e+09 -2.38656280e+09 +5.44883108e+00 -1.20358999e+01 -4.66649675e+00
2458775.500 +1.93900028e+09 -6.09178600e+09 -2.38666360e+09 +5.44881355e+00 -1.20358449e+01 -4.66647518e+00
2458775.750 +1.93911798e+09 -6.09204598e+09 -2.38676439e+09 +5.44879603e+00 -1.20357898e+01 -4.66645361e+00
2458776.000 +1.93923567e+09 -6.09230595e+09 -2.38686519e+09 +5.44877851e+00 -1.20357348e+01 -4.66643205e+00
2458776.250 +1.93935336e+09 -6.09256592e+09 -2.38696598e+09 +5.44876099e+00 -1.20356797e+01 -4.66641048e+00
2458776.500 +1.93947106e+09 -6.09282589e+09 -2.38706678e+09 +5.44874347e+00 -1.20356247e+01 -4.66638892e+00
2458776.750 +1.93958875e+09 -6.09308586e+09 -2.38716757e+09 +5.44872595e+00 -1.20355696e+01 -4.66636736e+00
2458777.000 +1.93970644e+09 -6.09334583e+09 -2.38726836e+09 +5.44870843e+00 -1.20355146e+01 -4.66634580e+00
2458777.250 +1.93982413e+09 -6.09360579e+09 -2.38736915e+09 +5.44869092e+00 -1.20354596e+01 -4.66632424e+00
2458777.500 +1.93994182e+09 -6.09386576e+09 -2.38746995e+09 +5.44867340e+00 -1.20354046e+01 -4.66630269e+00
2458777.750 +1.94005952e+09 -6.09412572e+09 -2.38757074e+09 +5.44865589e+00 -1.20353496e+01 -4.66628114e+00
2458778.000 +1.94017721e+09 -6.09438569e+09 -2.38767153e+09 +5.44863838e+00 -1.20352945e+01 -4.66625958e+00
2458778.250 +1.94029490e+09 -6.09464565e+09 -2.38777232e+09 +5.44862087e+00 -1.20352395e+01 -4.66623803e+00
2458778.500 +1.94041259e+09 -6.09490561e+09 -2.38787311e+09 +5.44860336e+00 -1.20351845e+01 -4.66621649e+00
2458778.750 +1.94053028e+09 -6.09516557e+09 -2.38797390e+09 +5.44858585e+00 -1.20351295e+01 -4.66619494e+00
2458779.000 +1.94064797e+09 -6.09542553e+09 -2.38807469e+09 +5.44856834e+00 -1.20350746e+01 -4.66617340e+00
2458779.250 +1.94076565e+09 -6.09568548e+09 -2.38817548e+09 +5.44855084e+00 -1.20350196e+01 -4.66615186e+00
2458779.500 +1.94088334e+09 -6.09594544e+09 -2.38827627e+09 +5.44853333e+00 -1.20349646e+01 -4.66613032e+00
2458779.750 +1.94100103e+09 -6.09620539e+09 -2.38837706e+09 +5.44851583e+00 -1.20349096e+01 -4.66610878e+00
2458780.000 +1.94111872e+09 -6.09646535e+09 -2.38847785e+09 +5.44849833e+00 -1.20348547e+01 -4.66608724e+00
2458780.250 +1.94123641e+09 -6.09672530e+09 -2.38857863e+09 +5.44848083e+00 -1.20347997e+01 -4.66606571e+00
2458780.500 +1.94135409e+09 -6.09698525e+09 -2.38867942e+09 +5.44846333e+00 -1.20347447e+01 -4.66604418e+00
2458780.750 +1.94147178e+09 -6.09724520e+09 -2.38878021e+09 +5.44844583e+00 -1.20346898e+01 -4.66602265e+00
2458781.000 +1.94158947e+09 -6.09750515e+09 -2.38888099e+09 +5.44842833e+00 -1.20346348e+01 -4.66600112e+00
2458781.250 +1.94170715e+09 -6.09776510e+09 -2.38898178e+09 +5.44841084e+00 -1.20345799e+01 -4.66597959e+00
2458781.500 +1.94182484e+09 -6.09802504e+09 -2.38908256e+09 +5.44839334e+00 -1.20345249e+01 -4.66595807e+00
2458781.750 +1.94194252e+09 -6.09828499e+09 -2.38918335e+09 +5.44837585e+00 -1.20344700e+01 -4.66593655e+00
2458782.000 +1.94206021e+09 -6.09854493e+09 -2.38928413e+09 +5.44835836e+00 -1.20344151e+01 -4.66591503e+00
2458782.250 +1.94217789e+09 -6.09880487e+09 -2.38938491e+09 +5.44834087e+00 -1.20343601e+01 -4.66589351e+00
2458782.500 +1.94229558e+09 -6.09906482e+09 -2.38948570e+09 +5.44832338e+00 -1.20343052e+01 -4.66587199e+00
2458782.750 +1.94241326e+09 -6.09932476e+09 -2.38958648e+09 +5.44830589e+00 -1.20342503e+01 -4.66585048e+00
2458783.000 +1.94253094e+09 -6.09958470e+09 -2.38968726e+09 +5.44828840e+00 -1.20341954e+01 -4.66582897e+00
2458783.250 +1.94264863e+09 -6.09984463e+09 -2.38978804e+09 +5.44827092e+00 -1.20341405e+01 -4.66580745e+00
2458783.500 +1.94276631e+09 -6.10010457e+09 -2.38988882e+09 +5.44825343e+00 -1.20340856e+01 -4.66578595e+00
2458783.750 +1.94288399e+09 -6.10036451e+09 -2.38998961e+09 +5.44823595e+00 -1.20340307e+01 -4.66576444e+00
2458784.000 +1.94300167e+09 -6.10062444e+09 -2.39009039e+09 +5.44821847e+00 -1.20339758e+01 -4.66574293e+00
2458784.250 +1.94311935e+09 -6.10088437e+09 -2.39019117e+09 +5.44820099e+00 -1.20339209e+01 -4.66572143e+00
2458784.500 +1.94323703e+09 -6.10114431e+09 -2.39029194e+09 +5.44818351e+00 -1.20338660e+01 -4.66569993e+00
2458784.750 +1.94335471e+09 -6.10140424e+09 -2.39039272e+09 +5.44816603e+00 -1.20338112e+01 -4.66567843e+00
2458785.000 +1.94347239e+09 -6.10166417e+09 -2.39049350e+09 +5.44814855e+00 -1.20337563e+01 -4.66565693e+00
2458785.250 +1.94359007e+09 -6.10192409e+09 -2.39059428e+09 +5.44813108e+00 -1.20337014e+01 -4.66563544e+00
